replicate,rank,top-1320 model,top-1320 acquired
1,0,0.0,0.0
1,1,0.05606060606060606,0.0
1,2,0.06439393939393939,0.0022727272727272726
1,3,0.06818181818181818,0.0030303030303030303
1,4,0.11136363636363636,0.003787878787878788
1,5,0.08484848484848485,0.004545454545454545
2,0,0.029545454545454545,0.0
2,1,0.004545454545454545,0.0
2,2,0.0030303030303030303,0.0
2,3,0.0007575757575757576,0.0
2,4,0.015909090909090907,0.0
2,5,0.05075757575757576,0.0015151515151515152
3,0,0.0030303030303030303,0.0
3,1,0.02878787878787879,0.0
3,2,0.01893939393939394,0.0
3,3,0.05909090909090909,0.0
3,4,0.08484848484848485,0.0
3,5,0.04090909090909091,0.0007575757575757576
4,0,0.019696969696969695,0.0
4,1,0.0,0.0
4,2,0.006818181818181818,0.0
4,3,0.008333333333333333,0.0
4,4,0.013636363636363636,0.0
4,5,0.015151515151515152,0.0
5,0,0.0,0.0
5,1,0.03106060606060606,0.0
5,2,0.0803030303030303,0.0022727272727272726
5,3,0.037121212121212124,0.0022727272727272726
5,4,0.01893939393939394,0.0022727272727272726
5,5,0.016666666666666666,0.004545454545454545
6,0,0.0,0.0
6,1,0.04924242424242424,0.0
6,2,0.10303030303030303,0.0
6,3,0.14924242424242423,0.006818181818181818
6,4,0.16818181818181818,0.006818181818181818
6,5,0.11060606060606061,0.012121212121212121
7,0,0.06515151515151515,0.0
7,1,0.09318181818181819,0.0
7,2,0.05303030303030303,0.0007575757575757576
7,3,0.03484848484848485,0.0015151515151515152
7,4,0.07727272727272727,0.003787878787878788
7,5,0.0946969696969697,0.008333333333333333
8,0,0.005303030303030303,0.0
8,1,0.020454545454545454,0.0
8,2,0.025,0.0
8,3,0.051515151515151514,0.0
8,4,0.08787878787878788,0.0007575757575757576
8,5,0.006060606060606061,0.0007575757575757576
9,0,0.06818181818181818,0.0
9,1,0.04393939393939394,0.0
9,2,0.07272727272727272,0.0007575757575757576
9,3,0.012878787878787878,0.0030303030303030303
9,4,0.024242424242424242,0.0030303030303030303
9,5,0.07348484848484849,0.003787878787878788
10,0,0.026515151515151516,0.0
10,1,0.07575757575757576,0.0
10,2,0.06212121212121212,0.0007575757575757576
10,3,0.055303030303030305,0.004545454545454545
10,4,0.06742424242424243,0.005303030303030303
10,5,0.0696969696969697,0.006818181818181818
11,0,0.0,0.0
11,1,0.0,0.0
11,2,0.0,0.0
11,3,0.0,0.0
11,4,0.0015151515151515152,0.0
11,5,0.007575757575757576,0.0
12,0,0.030303030303030304,0.0
12,1,0.0015151515151515152,0.0
12,2,0.029545454545454545,0.0
12,3,0.01893939393939394,0.0
12,4,0.05378787878787879,0.0007575757575757576
12,5,0.04621212121212121,0.0030303030303030303
13,0,0.006060606060606061,0.0
13,1,0.0015151515151515152,0.0
13,2,0.016666666666666666,0.0
13,3,0.03333333333333333,0.0007575757575757576
13,4,0.038636363636363635,0.0030303030303030303
13,5,0.06893939393939394,0.0030303030303030303
14,0,0.019696969696969695,0.0
14,1,0.075,0.0
14,2,0.04393939393939394,0.0
14,3,0.08409090909090909,0.0
14,4,0.016666666666666666,0.0007575757575757576
14,5,0.03484848484848485,0.0007575757575757576
15,0,0.007575757575757576,0.0
15,1,0.003787878787878788,0.0
15,2,0.022727272727272728,0.0
15,3,0.005303030303030303,0.0
15,4,0.0030303030303030303,0.0
15,5,0.00909090909090909,0.0
16,0,0.10227272727272728,0.0
16,1,0.04015151515151515,0.003787878787878788
16,2,0.055303030303030305,0.003787878787878788
16,3,0.06742424242424243,0.005303030303030303
16,4,0.06060606060606061,0.006060606060606061
16,5,0.05454545454545454,0.006060606060606061
17,0,0.0,0.0
17,1,0.003787878787878788,0.0
17,2,0.009848484848484848,0.0
17,3,0.016666666666666666,0.0
17,4,0.03257575757575758,0.0
17,5,0.04924242424242424,0.0
18,0,0.031818181818181815,0.0
18,1,0.0015151515151515152,0.0007575757575757576
18,2,0.11363636363636363,0.0007575757575757576
18,3,0.059848484848484845,0.0007575757575757576
18,4,0.04393939393939394,0.0022727272727272726
18,5,0.0446969696969697,0.0030303030303030303
19,0,0.07803030303030303,0.0
19,1,0.022727272727272728,0.0015151515151515152
19,2,0.02803030303030303,0.0015151515151515152
19,3,0.029545454545454545,0.0015151515151515152
19,4,0.025,0.0022727272727272726
19,5,0.022727272727272728,0.0030303030303030303
20,0,0.015151515151515152,0.0
20,1,0.01818181818181818,0.0
20,2,0.03106060606060606,0.0
20,3,0.10606060606060606,0.0
20,4,0.04621212121212121,0.0015151515151515152
20,5,0.0659090909090909,0.003787878787878788
21,0,0.02727272727272727,0.0
21,1,0.04772727272727273,0.0
21,2,0.037121212121212124,0.0007575757575757576
21,3,0.06439393939393939,0.0007575757575757576
21,4,0.08106060606060606,0.0030303030303030303
21,5,0.06893939393939394,0.0030303030303030303
22,0,0.017424242424242425,0.0
22,1,0.013636363636363636,0.0
22,2,0.0007575757575757576,0.0
22,3,0.0,0.0
22,4,0.0007575757575757576,0.0
22,5,0.004545454545454545,0.0
23,0,0.11969696969696969,0.0
23,1,0.004545454545454545,0.0022727272727272726
23,2,0.007575757575757576,0.0022727272727272726
23,3,0.02196969696969697,0.0022727272727272726
23,4,0.013636363636363636,0.0030303030303030303
23,5,0.010606060606060607,0.0030303030303030303
24,0,0.01893939393939394,0.0
24,1,0.003787878787878788,0.0
24,2,0.01893939393939394,0.0
24,3,0.03106060606060606,0.0
24,4,0.007575757575757576,0.0
24,5,0.024242424242424242,0.0
25,0,0.0803030303030303,0.0
25,1,0.07121212121212121,0.0022727272727272726
25,2,0.09848484848484848,0.005303030303030303
25,3,0.0856060606060606,0.010606060606060607
25,4,0.14469696969696969,0.011363636363636364
25,5,0.05,0.012878787878787878
26,0,0.03484848484848485,0.0007575757575757576
26,1,0.005303030303030303,0.0007575757575757576
26,2,0.03484848484848485,0.0015151515151515152
26,3,0.010606060606060607,0.0015151515151515152
26,4,0.05075757575757576,0.0015151515151515152
26,5,0.0946969696969697,0.0015151515151515152
27,0,0.02196969696969697,0.0
27,1,0.022727272727272728,0.0
27,2,0.037121212121212124,0.0022727272727272726
27,3,0.03333333333333333,0.004545454545454545
27,4,0.04621212121212121,0.006060606060606061
27,5,0.05757575757575758,0.00909090909090909
28,0,0.0,0.0
28,1,0.016666666666666666,0.0
28,2,0.0007575757575757576,0.0
28,3,0.0015151515151515152,0.0007575757575757576
28,4,0.0446969696969697,0.0007575757575757576
28,5,0.020454545454545454,0.0015151515151515152
29,0,0.01893939393939394,0.0
29,1,0.10757575757575757,0.0022727272727272726
29,2,0.04924242424242424,0.0030303030303030303
29,3,0.06212121212121212,0.003787878787878788
29,4,0.022727272727272728,0.006818181818181818
29,5,0.06136363636363636,0.011363636363636364
30,0,0.0030303030303030303,0.0
30,1,0.0,0.0
30,2,0.016666666666666666,0.0
30,3,0.006060606060606061,0.0
30,4,0.012121212121212121,0.0
30,5,0.03787878787878788,0.0
