replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.15,0.02
1,2,0.22,0.09
1,3,0.22,0.15
1,4,0.24,0.18
1,5,0.28,0.2
2,0,0.07,0.0
2,1,0.15,0.02
2,2,0.2,0.06
2,3,0.2,0.13
2,4,0.2,0.15
2,5,0.3,0.16
3,0,0.03,0.0
3,1,0.11,0.0
3,2,0.24,0.04
3,3,0.24,0.11
3,4,0.26,0.13
3,5,0.33,0.17
4,0,0.07,0.01
4,1,0.15,0.03
4,2,0.23,0.08
4,3,0.24,0.13
4,4,0.24,0.16
4,5,0.27,0.2
5,0,0.14,0.0
5,1,0.18,0.03
5,2,0.22,0.08
5,3,0.21,0.11
5,4,0.23,0.14
5,5,0.26,0.16
6,0,0.2,0.0
6,1,0.18,0.07
6,2,0.21,0.1
6,3,0.25,0.16
6,4,0.23,0.18
6,5,0.29,0.21
7,0,0.12,0.0
7,1,0.14,0.01
7,2,0.22,0.06
7,3,0.26,0.12
7,4,0.29,0.17
7,5,0.3,0.22
8,0,0.04,0.0
8,1,0.17,0.02
8,2,0.19,0.07
8,3,0.2,0.12
8,4,0.24,0.14
8,5,0.27,0.18
9,0,0.22,0.01
9,1,0.21,0.05
9,2,0.27,0.06
9,3,0.24,0.15
9,4,0.27,0.19
9,5,0.3,0.21
10,0,0.0,0.0
10,1,0.04,0.0
10,2,0.06,0.01
10,3,0.11,0.02
10,4,0.23,0.06
10,5,0.25,0.12
11,0,0.04,0.0
11,1,0.2,0.02
11,2,0.18,0.06
11,3,0.19,0.11
11,4,0.29,0.14
11,5,0.32,0.21
12,0,0.16,0.0
12,1,0.15,0.0
12,2,0.22,0.05
12,3,0.21,0.07
12,4,0.23,0.16
12,5,0.25,0.2
13,0,0.09,0.0
13,1,0.24,0.03
13,2,0.21,0.07
13,3,0.22,0.13
13,4,0.26,0.17
13,5,0.27,0.2
14,0,0.04,0.0
14,1,0.14,0.01
14,2,0.17,0.04
14,3,0.2,0.08
14,4,0.21,0.13
14,5,0.2,0.13
15,0,0.06,0.0
15,1,0.15,0.01
15,2,0.11,0.04
15,3,0.19,0.08
15,4,0.23,0.12
15,5,0.24,0.15
16,0,0.04,0.0
16,1,0.11,0.0
16,2,0.11,0.03
16,3,0.11,0.05
16,4,0.12,0.09
16,5,0.17,0.11
17,0,0.16,0.01
17,1,0.19,0.03
17,2,0.19,0.09
17,3,0.26,0.14
17,4,0.28,0.19
17,5,0.29,0.26
18,0,0.18,0.01
18,1,0.17,0.06
18,2,0.18,0.09
18,3,0.23,0.14
18,4,0.25,0.16
18,5,0.29,0.22
19,0,0.15,0.0
19,1,0.07,0.03
19,2,0.13,0.03
19,3,0.19,0.07
19,4,0.25,0.13
19,5,0.27,0.21
20,0,0.06,0.0
20,1,0.13,0.0
20,2,0.1,0.03
20,3,0.18,0.07
20,4,0.23,0.15
20,5,0.21,0.16
21,0,0.15,0.0
21,1,0.15,0.0
21,2,0.2,0.08
21,3,0.21,0.11
21,4,0.23,0.15
21,5,0.26,0.18
22,0,0.08,0.0
22,1,0.09,0.02
22,2,0.18,0.03
22,3,0.27,0.09
22,4,0.27,0.13
22,5,0.28,0.19
23,0,0.05,0.0
23,1,0.21,0.02
23,2,0.21,0.07
23,3,0.24,0.1
23,4,0.22,0.15
23,5,0.22,0.17
24,0,0.0,0.0
24,1,0.01,0.0
24,2,0.02,0.0
24,3,0.04,0.02
24,4,0.04,0.02
24,5,0.04,0.03
25,0,0.03,0.0
25,1,0.13,0.01
25,2,0.14,0.04
25,3,0.17,0.08
25,4,0.23,0.16
25,5,0.23,0.18
26,0,0.04,0.0
26,1,0.05,0.0
26,2,0.16,0.01
26,3,0.25,0.06
26,4,0.28,0.1
26,5,0.24,0.16
27,0,0.18,0.0
27,1,0.24,0.04
27,2,0.21,0.08
27,3,0.26,0.12
27,4,0.3,0.18
27,5,0.31,0.22
28,0,0.15,0.0
28,1,0.16,0.02
28,2,0.19,0.04
28,3,0.22,0.09
28,4,0.32,0.12
28,5,0.32,0.17
29,0,0.23,0.01
29,1,0.23,0.08
29,2,0.26,0.14
29,3,0.25,0.19
29,4,0.29,0.2
29,5,0.36,0.23
30,0,0.21,0.01
30,1,0.19,0.04
30,2,0.22,0.08
30,3,0.24,0.14
30,4,0.25,0.15
30,5,0.24,0.18
