replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.0
1,1,0.2,0.01
1,2,0.27,0.06
1,3,0.27,0.06
1,4,0.25,0.08
1,5,0.22,0.08
2,0,0.07,0.0
2,1,0.09,0.0
2,2,0.23,0.03
2,3,0.19,0.04
2,4,0.22,0.05
2,5,0.26,0.1
3,0,0.03,0.0
3,1,0.26,0.01
3,2,0.25,0.02
3,3,0.23,0.02
3,4,0.2,0.04
3,5,0.2,0.07
4,0,0.07,0.01
4,1,0.23,0.04
4,2,0.23,0.04
4,3,0.23,0.05
4,4,0.29,0.08
4,5,0.25,0.09
5,0,0.14,0.0
5,1,0.06,0.0
5,2,0.08,0.0
5,3,0.13,0.02
5,4,0.2,0.04
5,5,0.28,0.07
6,0,0.2,0.0
6,1,0.21,0.03
6,2,0.14,0.04
6,3,0.14,0.04
6,4,0.16,0.04
6,5,0.16,0.04
7,0,0.12,0.0
7,1,0.17,0.03
7,2,0.22,0.06
7,3,0.27,0.06
7,4,0.25,0.07
7,5,0.26,0.08
8,0,0.04,0.0
8,1,0.11,0.0
8,2,0.1,0.0
8,3,0.2,0.01
8,4,0.2,0.03
8,5,0.17,0.03
9,0,0.22,0.01
9,1,0.26,0.04
9,2,0.24,0.06
9,3,0.26,0.07
9,4,0.22,0.11
9,5,0.25,0.14
10,0,0.0,0.0
10,1,0.01,0.0
10,2,0.23,0.04
10,3,0.22,0.05
10,4,0.22,0.07
10,5,0.26,0.09
11,0,0.04,0.0
11,1,0.11,0.01
11,2,0.29,0.06
11,3,0.24,0.07
11,4,0.28,0.11
11,5,0.25,0.12
12,0,0.16,0.0
12,1,0.12,0.02
12,2,0.15,0.02
12,3,0.11,0.02
12,4,0.22,0.06
12,5,0.27,0.09
13,0,0.09,0.0
13,1,0.2,0.02
13,2,0.13,0.03
13,3,0.17,0.04
13,4,0.21,0.04
13,5,0.16,0.04
14,0,0.04,0.0
14,1,0.15,0.01
14,2,0.27,0.05
14,3,0.27,0.06
14,4,0.25,0.07
14,5,0.26,0.08
15,0,0.06,0.0
15,1,0.24,0.05
15,2,0.23,0.08
15,3,0.26,0.1
15,4,0.3,0.12
15,5,0.31,0.19
16,0,0.04,0.0
16,1,0.0,0.0
16,2,0.18,0.02
16,3,0.21,0.06
16,4,0.25,0.09
16,5,0.23,0.13
17,0,0.16,0.01
17,1,0.19,0.05
17,2,0.22,0.08
17,3,0.22,0.08
17,4,0.22,0.1
17,5,0.27,0.11
18,0,0.18,0.01
18,1,0.15,0.03
18,2,0.27,0.06
18,3,0.27,0.14
18,4,0.27,0.21
18,5,0.28,0.23
19,0,0.15,0.0
19,1,0.07,0.0
19,2,0.17,0.0
19,3,0.17,0.01
19,4,0.24,0.02
19,5,0.21,0.02
20,0,0.06,0.0
20,1,0.02,0.0
20,2,0.04,0.0
20,3,0.04,0.01
20,4,0.24,0.04
20,5,0.27,0.04
21,0,0.15,0.0
21,1,0.21,0.04
21,2,0.21,0.09
21,3,0.24,0.12
21,4,0.25,0.16
21,5,0.26,0.19
22,0,0.08,0.0
22,1,0.13,0.01
22,2,0.12,0.04
22,3,0.19,0.05
22,4,0.17,0.07
22,5,0.24,0.08
23,0,0.05,0.0
23,1,0.03,0.0
23,2,0.09,0.0
23,3,0.16,0.01
23,4,0.2,0.04
23,5,0.2,0.05
24,0,0.0,0.0
24,1,0.08,0.01
24,2,0.13,0.02
24,3,0.23,0.07
24,4,0.27,0.1
24,5,0.28,0.12
25,0,0.03,0.0
25,1,0.03,0.0
25,2,0.22,0.01
25,3,0.24,0.01
25,4,0.23,0.07
25,5,0.27,0.13
26,0,0.04,0.0
26,1,0.05,0.0
26,2,0.17,0.01
26,3,0.13,0.01
26,4,0.17,0.01
26,5,0.22,0.04
27,0,0.18,0.0
27,1,0.18,0.01
27,2,0.24,0.05
27,3,0.22,0.07
27,4,0.23,0.08
27,5,0.26,0.08
28,0,0.15,0.0
28,1,0.12,0.02
28,2,0.11,0.02
28,3,0.14,0.04
28,4,0.23,0.09
28,5,0.24,0.12
29,0,0.23,0.01
29,1,0.2,0.02
29,2,0.16,0.02
29,3,0.19,0.05
29,4,0.22,0.07
29,5,0.23,0.11
30,0,0.21,0.01
30,1,0.2,0.05
30,2,0.22,0.05
30,3,0.24,0.11
30,4,0.25,0.12
30,5,0.22,0.13
